unique_id,project_subtype,project_subtype_two,archive_filename,start_date,estimated_completion_date,actual_completion_date,estimated_duration,actual_duration,fiscal_year,estimated_cost,estimated_cost_nocontingency,final_cost,cost_pct0,schedule_pct0,expenditure_pct0,cost_pct10,schedule_pct10,expenditure_pct10,cost_pct20,schedule_pct20,expenditure_pct20,cost_pct30,schedule_pct30,expenditure_pct30,cost_pct40,schedule_pct40,expenditure_pct40,cost_pct50,schedule_pct50,expenditure_pct50,cost_pct60,schedule_pct60,expenditure_pct60,cost_pct70,schedule_pct70,expenditure_pct70,cost_pct80,schedule_pct80,expenditure_pct80,cost_pct90,schedule_pct90,expenditure_pct90
001V_crystal park 5 move to arlington service cent,Relocation,,"MilCon Status Report - January, 2013.xlsx",2010-10-01,2011-08-01,2012-07-09,304 days,647 days,2010.0,49600000.0,47238095.23809524,70776000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.498282258064516,2.1282894736842106,1.0
003A_navy systems mgmt activity relocation inc 2,Relocation,,"MilCon Status Report - January, 2013.xlsx",2009-10-14,2011-06-30,2011-09-28,624 days,714 days,2010.0,71699000.0,68284761.9047619,72534000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0596068285471207,1.1442307692307692,0.9975321917997078
003V_navy systems management activity relocation,Relocation,,"MilCon Status Report - January, 2013.xlsx",2009-10-14,2011-06-30,2011-09-28,624 days,714 days,2009.0,14963000.0,14250476.19047619,15390000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0799639109804184,1.1442307692307692,1.0
004_apcss conference & technology learning center,General buildings,School/classrooms,"MilCon Status Report - January, 2013.xlsx",2010-08-11,2012-06-12,2012-06-12,671 days,664 days,2010.0,11431000.0,10886666.66666667,12775000.0,,,,,,,,,,,,,,,,,,,,,,,,,1.1734537660747089,1.0,1.0,1.1734537660747089,1.0,1.0
004_motor transportation/comm maintenance fac,General buildings,Engineering/equipment maintenance facility,"MilCon Status Report - January, 2013.xlsx",2011-06-16,2012-12-01,2014-01-15,534 days,944 days,2011.0,12906000.0,12291428.57142857,12849000.0,,,,,,,,,,,,,,,,,,,,,,0.9653881915388192,1.0842696629213484,0.9234959919059849,1.0440609019060902,1.7677902621722847,0.9987547669079305,1.0453626220362622,1.7677902621722847,1.0
005_paint and blast facility,Vehicle depot/maintenance,,"MilCon Status Report - January, 2013.xlsx",2011-09-30,2013-05-16,2014-01-24,594 days,847 days,2011.0,20345000.0,19376190.47619048,19808000.0,,,,,,,,,,,,,,,,1.0000933890390757,1.0,0.9782915993537964,1.0002482182354384,1.0,0.9784430533117933,1.0002482182354384,1.0,0.9784430533117933,1.0117055787662814,1.3602693602693603,0.9896506462035541,1.0222855738510688,1.4259259259259258,1.0
"006_physical fitness center, camp smith",General buildings,Fitness facility,"MilCon Status Report - January, 2013.xlsx",2011-06-30,2013-03-07,2014-04-04,616 days,1009 days,2011.0,28891000.0,27515238.09523809,28102000.0,,,,,,,,,,,,,,,,,,,0.9930497386729433,1.3149350649350648,0.9723151377126183,1.014819493960057,1.4675324675324675,0.9936303465945484,1.0194351182029007,1.4675324675324675,0.9981495978933884,1.0213249800976085,1.6379870129870129,1.0
010_autonomous systems research lab,General buildings,Lab,"MilCon Status Report - January, 2013.xlsx",2009-10-13,2011-04-07,2011-08-11,541 days,667 days,2009.0,19721000.0,18781904.76190476,24423000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1096318645099132,1.232902033271719,0.8533349711337673
010_eodmu ten operations facility,General buildings,Command facility/ops centre,"MilCon Status Report - January, 2013.xlsx",2009-03-16,2010-09-08,2011-03-16,541 days,730 days,2009.0,7985000.0,7604761.904761905,8286000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0895804633688164,1.3493530499075785,1.0
012_construct naccc addition,General buildings,Child care building,"MilCon Status Report - January, 2013.xlsx",2011-06-24,2012-04-13,2012-04-20,294 days,301 days,2011.0,1380000.0,1314285.714285714,1256000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9556521739130436,1.0238095238095237,1.0
012A_collocate mildep investig agencies inc 2 of 2,Relocation,,"MilCon Status Report - January, 2013.xlsx",2008-08-13,2010-12-01,2010-12-23,840 days,862 days,2009.0,207745000.0,197852380.952381,210741000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0650263544248955,1.026190476190476,0.9998908612941952
013852_fy11 battle sims training support center,Training facility,Simulation centre,"MilCon Status Report - March, 2014 .xlsx",2011-11-04,2013-04-27,2014-08-31,540 days,1031 days,2011.0,27829194.0,26503994.28571428,34671399.0,,,,,,,,,,,,,,,,,,,,,,,,,1.1679553906591764,1.7685185185185186,0.8928247458373398,1.3081575035913726,1.9092592592592592,1.0
015_calibration facility land acquisition,Land acquisition,,"MilCon Status Report - January, 2013.xlsx",2012-01-06,,,,,2011.0,3149000.0,2999047.619047619,3080000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0269926960939981,,1.0
016_e-2d aircrew trainer facility,Training facility,Flight simulator,"MilCon Status Report - January, 2013.xlsx",2010-05-21,2011-07-23,2011-12-02,428 days,560 days,2010.0,5737000.0,5463809.523809523,5675000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0379205159491025,1.308411214953271,0.999295154185022
018646_vehicle maintenance facility,Vehicle depot/maintenance,,"MilCon Status Report - January, 2013.xlsx",2012-05-30,2013-08-23,2013-08-31,450 days,458 days,2012.0,12240971.0,11658067.61904762,12273357.0,,,,,,,,,,,,,,,,1.051332467824652,,0.998626944527076,,,,,,,1.0405875481610078,1.0177777777777777,0.9884206904435355,1.0422461420748403,1.0177777777777777,0.9899961355316235
019_child development center,General buildings,Child care building,"MilCon Status Report - January, 2013.xlsx",2009-10-13,2011-10-29,2012-01-17,746 days,826 days,2009.0,22378000.0,21312380.95238095,24108000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1311734739476271,1.1072386058981234,1.0
020_child development center,General buildings,Child care building,"MilCon Status Report - January, 2013.xlsx",2009-12-31,2012-01-16,2012-05-31,746 days,882 days,2009.0,19438000.0,18512380.95238095,17993000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.9708637719930034,1.1823056300268096,0.9988884566220196,0.9718901121514559,1.1823056300268096,0.999944422831101
022_consolidated warehouse facility,General buildings,Warehouse/storage,"MilCon Status Report - January, 2013.xlsx",2011-06-17,2012-07-27,2013-12-20,406 days,917 days,2011.0,13295000.0,12661904.76190476,11139000.0,,,,,,,,,,,,,,,,0.858322677698383,1.5320197044334976,0.9756710656252805,0.858322677698383,1.5320197044334976,0.9756710656252805,,,,0.858322677698383,1.5320197044334976,0.9756710656252805,0.8777510342233924,2.0541871921182264,0.9977556333602657
023_child development center,General buildings,Child care building,"MilCon Status Report - January, 2013.xlsx",2009-09-11,2011-02-13,2012-01-16,520 days,857 days,2009.0,11498000.0,10950476.19047619,11348000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0363019655592276,1.648076923076923,1.0
023_washrack expansion,Military site infrastructure,Vehicle wash rack,"MilCon Status Report - January, 2013.xlsx",2011-06-15,2012-11-19,2013-06-30,523 days,746 days,2011.0,8877000.0,8454285.714285715,8449000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.9993747887799932,1.4263862332695985,1.0,0.9993747887799932,1.4263862332695985,1.0
024_child development center,General buildings,Child care building,"MilCon Status Report - January, 2013.xlsx",2010-11-18,2012-05-27,2013-04-12,556 days,876 days,2009.0,12558000.0,11960000.0,13247000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1045986622073578,1.5755395683453237,0.9972824035630709
"026_bachelor enlisted quarters, las pulgas",General buildings,Barracks,"MilCon Status Report - January, 2013.xlsx",2009-08-10,2011-08-04,2011-08-04,724 days,724 days,2009.0,34235000.0,32604761.9047619,34183000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0484051409376371,1.0,1.0
027259_industrial waste water treatment plant,Water,Wastewater treatment,"MilCon Status Report - January, 2013.xlsx",2012-06-28,2013-06-28,2013-06-28,365 days,365 days,2008.0,1860159.0,1771580.0,1900546.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0727971641133902,,1.0,1.05,1.0,0.9787497908495769
028V_marine corps reserve center,General buildings,Reserve/readiness centre,"MilCon Status Report - January, 2013.xlsx",2010-08-06,2011-07-28,2011-11-23,356 days,474 days,2010.0,9314000.0,8870476.19047619,9684000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0917114021902512,1.3314606741573034,1.0
030_squad battle course,Training facility,Battle course,"MilCon Status Report - January, 2013.xlsx",2012-07-05,2014-05-17,2014-08-03,681 days,759 days,2012.0,16292000.0,15516190.47619048,14381000.0,0.909630493493739,1.0,0.9814338363118003,0.9097593911122022,1.0,0.9815729086989778,0.9147219494230295,1.0,0.9869271956053126,0.9149152958507241,1.0,0.9871358041860788,0.9150441934691871,1.0,0.9872748765732564,0.9164620672722806,1.0,0.9888046728322092,0.9202000982077091,1.0881057268722467,0.9928377720603574,0.9232936410508223,1.0881057268722467,0.996175509352618,0.9234869874785169,1.1145374449339207,0.9963841179333843,0.9268383255585562,1.1879588839941262,1.0
032_infantry platoon battle course sr-1,Training facility,Battle course,"MilCon Status Report - January, 2013.xlsx",2011-07-12,2013-03-04,2013-10-08,601 days,819 days,2009.0,17259000.0,16437142.85714286,19002000.0,,,,,,,,,,,,,,,,,,,1.1556144620198154,1.3311148086522462,0.9996316177244501,1.1556144620198154,1.3311148086522462,0.9996316177244501,1.1556144620198154,1.3660565723793676,0.9996316177244501,1.1560403267860244,1.362728785357737,1.0
033447_child development center,General buildings,Child care building,"MilCon Status Report - January, 2013.xlsx",2011-10-09,2013-04-01,2013-04-18,540 days,557 days,2009.0,4198848.0,3998902.857142857,4219811.0,,,,,,,1.0537902896222966,,0.998624108994455,,,,,,,,,,,,,,,,,,,1.0552421878572409,1.0314814814814814,1.0
034_main gate security improvements,Military site infrastructure,Gate,"MilCon Status Report - January, 2013.xlsx",2010-04-01,2011-09-29,2012-11-30,546 days,974 days,2009.0,7328000.0,6979047.619047618,8975000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2859920851528388,1.783882783882784,1.0
034_ordnance handling cargo ops & trng supt ctr,General buildings,Reserve/readiness centre,"MilCon Status Report - January, 2013.xlsx",2009-06-10,2010-09-22,2011-04-27,469 days,686 days,2009.0,11564000.0,11013333.33333333,13703000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2442191283292983,2.7057569296375266,1.0
039_replace joint base communications bldg,General buildings,Command facility/ops centre,"MilCon Status Report - January, 2013.xlsx",2010-08-20,2011-11-19,2012-04-20,456 days,609 days,2010.0,5061000.0,4820000.0,4642000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9595435684647303,1.3355263157894737,0.9963377854373116
039614_simulations center,Training facility,Simulation centre,"MilCon Status Report - January, 2013.xlsx",2011-10-12,2013-04-04,2013-10-25,540 days,744 days,2011.0,17954066.0,17099110.47619047,18069098.0,,,,,,,1.0549237649009426,,0.9982932186210955,,,,,,,,,,,,,,,,,,,1.0567273674943607,1.3777777777777778,1.0
041_navy information operations command fes facility,General buildings,Command facility/ops centre,"MilCon Status Report - January, 2013.xlsx",2012-04-19,2013-11-16,2014-06-09,576 days,781 days,2012.0,7708000.0,7340952.380952381,7642000.0,,,,,,,,,,0.9915607161390764,1.0,0.9524993457210155,,,,0.9916969382459783,1.0,0.9526302015179272,0.992241826673586,1.0,0.9531536247055744,0.9926504929942916,1.0,0.9535461920963099,1.036377789309808,1.3559027777777777,0.9955509029049987,1.0374675661650234,1.3559027777777777,0.9965977492802931
"043_bachelor enlisted quarters, pico (24) area",General buildings,Barracks,"MilCon Status Report - January, 2013.xlsx",2009-10-06,2011-06-06,2012-03-05,608 days,881 days,2009.0,31059000.0,29580000.0,31487000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0644692359702501,1.449013157894737,1.0
043335_nco academy,General buildings,School/classrooms,"MilCon Status Report - January, 2013.xlsx",2012-10-03,2014-07-15,2014-07-30,650 days,665 days,2012.0,34647000.0,32997142.85714285,34750105.0,,,,,,,1.051921711836523,1.0,0.9988577300701681,,,,,,,1.0531246644731147,1.0,1.0,,,,,,,1.0500000000000003,,0.9970329586054488,1.051645900077929,1.023076923076923,0.9985958315809406
044_hazardous material storehouse,Hazardous material storage,,"MilCon Status Report - January, 2013.xlsx",2011-10-10,2012-07-16,2013-07-12,280 days,641 days,2010.0,2019000.0,1922857.142857143,1996000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.038038632986627,2.289285714285714,1.0
044968_command and control facility,General buildings,Command facility/ops centre,"MilCon Status Report - January, 2013.xlsx",2011-07-11,2013-06-10,2013-12-20,700 days,893 days,2011.0,33708000.0,32102857.14285714,35939013.0,,,,,,,,,,1.111093658775365,,0.9924947298914414,,,,,,,,,,,,,1.1113349145603417,1.1457142857142857,0.9927102338620151,1.119495776966892,1.2757142857142858,1.0
"045187_open storage area, depot level",General buildings,Warehouse/storage,"MilCon Status Report - May, 2014 .xlsx",2013-03-18,2014-05-31,2014-05-31,439 days,439 days,2010.0,1768187.0,1683987.619047619,1864821.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1073840323449953,1.0,1.0
"046_bachelor enlisted quarters, area 41",General buildings,Barracks,"MilCon Status Report - January, 2013.xlsx",2009-10-09,2011-03-19,2011-08-19,526 days,679 days,2009.0,32038000.0,30512380.95238095,32091000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0517369998127224,1.290874524714829,1.0
047338_ait barracks,General buildings,Barracks,"MilCon Status Report - January, 2013.xlsx",2012-04-25,2014-01-15,2014-01-25,630 days,640 days,2009.0,1655000.0,1576190.476190476,43079104.0,,,,,,,1.0648725679758309,,0.03896185955956744,,,,,,,,,,26.58674229607251,1.0,0.9727632682425336,27.026409969788524,1.0158730158730158,0.9888499537966249,27.026409969788524,1.0158730158730158,0.9888499537966249,27.331153595166167,1.0158730158730158,1.0
"048_reserve center, joliet il",General buildings,Reserve/readiness centre,"MilCon Status Report - January, 2013.xlsx",2010-10-14,2011-12-15,2012-05-20,427 days,584 days,2010.0,8794000.0,8375238.095238095,8748000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0428360245622015,1.3676814988290398,0.9983996342021033
"049_reserve center addition, alameda",General buildings,Reserve/readiness centre,"MilCon Status Report - January, 2013.xlsx",2010-10-08,2012-04-01,2012-08-01,541 days,663 days,2010.0,6236000.0,5939047.619047618,7297000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2276379089159721,1.2255083179297597,0.9991777442784706
0501_wholehouse revitalization midrise 906,Housing,,"MilCon Status Report - January, 2013.xlsx",2011-10-06,2013-01-14,2013-02-28,466 days,511 days,2011.0,11626000.0,11072380.95238095,11102000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002675038706348,1.0965665236051503,1.0
"051_bachelor enlisted quarters, headquarters",General buildings,Barracks,"MilCon Status Report - January, 2013.xlsx",2009-10-02,2011-07-18,2012-02-20,654 days,871 days,2009.0,31967000.0,30444761.9047619,32132000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0554196515156258,1.3318042813455657,1.0
055_joint reserve center,General buildings,Reserve/readiness centre,"MilCon Status Report - January, 2013.xlsx",2010-12-17,2012-07-31,2012-07-31,592 days,592 days,2010.0,6024000.0,5737142.857142857,5507000.0,,,,,,,,,,,,,,,,,,,,,,0.9598854581673306,1.0,1.0,,,,0.9598854581673306,1.0,1.0
055274_vehicle maintenance shop,Vehicle depot/maintenance,,"MilCon Status Report - January, 2013.xlsx",2011-03-28,2013-04-17,2013-07-02,751 days,827 days,2010.0,37872000.0,36068571.42857143,38168078.0,,,,,,,,,,1.0565692371673003,,0.9984506686451438,,,,,,,,,,,,,1.056829879594423,1.0,0.9986969739477057,1.0582087531685678,1.1011984021304926,1.0
055281_vehicle maintenance shop,Vehicle depot/maintenance,,"MilCon Status Report - January, 2013.xlsx",2010-10-27,2012-10-18,2013-07-10,722 days,987 days,2010.0,15366000.0,14634285.71428572,16180879.0,,,,,,,,,,,,,,,,,,,,,,1.1056828680203041,,1.0,,,,1.1056828680203041,1.3670360110803323,1.0
056_center for disaster management/humanitarian assistance,General buildings,Command facility/ops centre,"MilCon Status Report - January, 2013.xlsx",2011-07-08,2012-08-15,2013-04-30,404 days,662 days,2011.0,7856000.0,7481904.761904761,9024000.0,,,,,,,,,,,,,,,,,,,,,,1.1359406822810592,1.5247524752475248,0.9418218085106383,1.1386137983706721,1.5247524752475248,0.9440381205673759,1.2061099796334014,1.6386138613861385,1.0
056_vpt test facility,General buildings,Lab,"MilCon Status Report - May, 2013.xlsx",2013-03-28,2013-10-31,2013-12-13,217 days,260 days,2013.0,2332000.0,2220952.380952381,2328000.0,1.0153301886792452,1.1290322580645162,0.9686426116838488,,,,,,,1.0184819897084048,1.1290322580645162,0.9716494845360825,,,,,,,,,,1.0238850771869639,1.1290322580645162,0.9768041237113402,,,,1.0481989708404802,1.1981566820276497,1.0
056024_flood mitigation,Military site infrastructure,Flood mitigation,"MilCon Status Report - January, 2013.xlsx",2012-10-17,2014-10-14,2012-10-17,727 days,,2011.0,21105273.0,20100260.0,21456704.0,1.0539800480192794,1.0,0.9873498278207128,1.0637174842514474,1.0412654745529573,0.9964716854927952,1.0665597857938156,1.0412654745529573,0.9991343031995967,1.0674839031932921,1.0412654745529573,1.0,,,,,,,,,,,,,,,,1.05,,0.9836213893802143
057317_brks cplx/3d bde - ph iv,General buildings,Barracks,"MilCon Status Report - March, 2014 .xlsx",2012-10-17,2014-01-29,2014-09-03,469 days,686 days,2011.0,13850420.0,13190876.19047619,14627614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1089190580502253,1.462686567164179,1.0
057369_ftr159 mission training complex,General buildings,Battalion complex,"MilCon Status Report - March, 2014 .xlsx",2011-05-18,2013-05-17,2013-10-24,730 days,890 days,2011.0,20025555.0,19071957.14285714,22497391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.179043389808672,1.2191780821917808,0.9995232336051767
057369_mission training complex,General buildings,Battalion complex,"MilCon Status Report - April, 2014 .xlsx",2011-05-18,2013-05-17,2013-10-24,730 days,890 days,2011.0,20025555.0,19071957.14285714,22486665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.179043389808672,1.2191780821917808,1.0
057369_simulations center,Training facility,Simulation centre,"MilCon Status Report - January, 2013.xlsx",2011-05-18,2013-05-17,2013-08-20,730 days,825 days,2011.0,20025555.0,19071957.14285714,22057576.0,,,,,,,,,,,,,,,,,,,,,,,,,1.1420337114252266,,0.9874529277378439,1.1565449646713912,1.13013698630137,1.0
057434_indoor aquatic training facility (eba community area),Swimming pool,,"MilCon Status Report - March, 2014 .xlsx",2011-10-18,2013-01-08,2013-05-09,448 days,569 days,2011.0,13606400.0,12958476.19047619,13808217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0655741305562088,1.2700892857142858,1.0
057434_indoor swimming pool,Swimming pool,,"MilCon Status Report - January, 2013.xlsx",2011-10-18,2013-01-08,2013-04-12,448 days,542 days,2011.0,13606400.0,12958476.19047619,13718199.0,,,,,,,,,,1.0563662577904516,,0.9978640053260636,,,,,,,,,,,,,,,,1.0586274804503764,1.2098214285714286,1.0
"057595_meade, satcom operations center",Satcom,,"MilCon Status Report - March, 2014 .xlsx",2011-09-06,2013-04-28,2014-01-31,600 days,878 days,2011.0,18392000.0,17516190.47619047,19780702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12928105154415,1.4633333333333334,1.0
057735_ft drum - infantry squad battle course (pn 057735),Training facility,Battle course,"MilCon Status Report - March, 2014 .xlsx",2012-08-26,2014-02-22,2014-02-22,545 days,545 days,2011.0,6675000.0,6357142.857142857,6861049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0792661348314607,1.0,1.0
057836_staging area complex,General buildings,Warehouse/storage,"MilCon Status Report - January, 2013.xlsx",2011-06-21,2012-12-12,2013-03-27,540 days,645 days,2011.0,12614600.0,12013904.76190476,13320810.0,,,,1.104864260460102,,0.9964659806723465,,,,,,,,,,,,,,,,,,,,,,1.1087827200228308,1.1944444444444444,1.0
058005_ammo supply point ,Storage igloo,,"MilCon Status Report - March, 2014 .xlsx",2012-05-18,2013-08-15,2014-06-30,454 days,773 days,2012.0,4680900.0,4458000.0,4784437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0732249887842082,1.7026431718061674,1.0
058005_ammo supply point (pn 058005),Storage igloo,,"MilCon Status Report - April, 2014 .xlsx",2012-05-18,2013-08-15,2014-06-13,454 days,756 days,2012.0,4680900.0,4458000.0,4784437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0732249887842082,1.6651982378854626,1.0
058005_ft drum - ammo supply point (pn 058005),Storage igloo,,"MilCon Status Report - May, 2014 .xlsx",2012-05-18,2013-08-15,2014-06-30,454 days,773 days,2012.0,4680900.0,4458000.0,4784437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0732249887842082,1.7026431718061674,1.0
058537_reception station ph 1,General buildings,Administration/office,"MilCon Status Report - August, 2014 .xlsx",2012-06-15,2014-03-26,2014-10-01,649 days,838 days,2012.0,32234496.0,30699520.0,33035398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.076088420926451,1.2912172573189522,1.0
058537_reception station ph 1 (pn 58537),General buildings,Administration/office,"MilCon Status Report - July, 2014 .xlsx",2012-06-15,2014-03-26,2014-10-01,649 days,838 days,2012.0,32234496.0,30699520.0,33035398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.076088420926451,1.2912172573189522,1.0
"058625_detrick, satellite facility",General buildings,Lab,"MilCon Status Report - May, 2014 .xlsx",2010-03-06,2012-09-01,2014-11-11,910 days,1711 days,2010.0,11717005.0,11159052.38095238,19327864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7320345258878016,1.8802197802197802,1.0
058625_satellite facility,General buildings,,"MilCon Status Report - March, 2014 .xlsx",2010-03-06,2012-09-01,2014-11-11,910 days,1711 days,2010.0,11717005.0,11159052.38095238,19327864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7320345258878016,1.8802197802197802,1.0
"059581_centralized wash facility, sb",Military site infrastructure,Vehicle wash rack,"MilCon Status Report - March, 2014 .xlsx",2012-02-08,2013-12-14,2014-09-19,675 days,954 days,2012.0,28300000.0,26952380.95238095,29706692.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0956719204946996,1.2296296296296296,0.994084666175554,1.1021917526501768,1.4133333333333333,1.0
"059978_apg, analytical chem wing-advanced chem lab",General buildings,Lab,"MilCon Status Report - April, 2014 .xlsx",2011-06-02,2012-12-31,2014-10-14,578 days,1230 days,2010.0,14904000.0,14194285.71428572,15204143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0711453401771331,2.1280276816608996,1.0
060_marine corps reserve center,General buildings,Reserve/readiness centre,"MilCon Status Report - January, 2013.xlsx",2011-10-11,2013-02-08,2014-03-01,486 days,872 days,2011.0,14630000.0,13933333.33333333,14198000.0,,,,1.006794258373206,1.3395061728395061,0.9880264826031836,1.0070813397129188,1.3395061728395061,0.9883082124242851,1.009019138755981,1.462962962962963,0.9902098887167207,1.011172248803828,1.462962962962963,0.9923228623749824,,,,1.014617224880383,1.462962962962963,0.9957036202282011,,,,1.0160526315789475,1.462962962962963,0.997112269333709,1.0184928229665073,1.794238683127572,0.9995069728130722
060_marine resource and recovery center,General buildings,Marine resource centre,"MilCon Status Report - January, 2013.xlsx",2009-10-14,2011-10-15,2011-10-15,731 days,731 days,2009.0,23928000.0,22788571.42857143,22741000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9979124874623871,1.0,1.0
060027_community support center,General buildings,Community centre,"MilCon Status Report - March, 2014 .xlsx",2011-08-18,2013-08-17,2014-07-30,730 days,1077 days,2010.0,7530000.0,7171428.571428571,8217982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1459337450199205,1.4753424657534246,1.0
"060027_detrick, community support center",General buildings,Community centre,"MilCon Status Report - May, 2014 .xlsx",2011-08-18,2013-08-17,2014-07-30,730 days,1077 days,2010.0,7530000.0,7171428.571428571,8165482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1386130278884463,1.4753424657534246,1.0
060130_barracks,General buildings,Barracks,"MilCon Status Report - January, 2013.xlsx",2011-09-21,2013-03-14,2013-08-23,540 days,702 days,2011.0,24390053.0,23228621.9047619,24403952.0,1.0490554325568708,,0.9985313854083961,,,,,,,,,,,,,,,,,,,1.0490554325568708,1.1222222222222222,0.9985313854083961,,,,1.0505983566333377,1.3,1.0
"060238_ child development center children under 6, ansbach",General buildings,Child care building,"MilCon Status Report - May, 2014 .xlsx",2011-10-07,2013-04-14,2013-05-14,555 days,585 days,2009.0,8393000.0,7993333.333333333,8432000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0548790658882403,1.054054054054054,1.0
060285_gen ins fac vii,General buildings,School/classrooms,"MilCon Status Report - March, 2014 .xlsx",2011-06-07,2013-05-24,2014-09-01,717 days,1182 days,2011.0,29886000.0,28462857.14285714,32624940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1377151224653685,1.6485355648535565,0.9925726453443287
060285_general instruction building,General buildings,School/classrooms,"MilCon Status Report - January, 2013.xlsx",2011-06-07,2013-05-24,2014-05-05,717 days,1063 days,2011.0,29886000.0,28462857.14285714,32624940.0,1.1092959094559325,,0.9677789752257016,,,,,,,,,,,,,,,,1.1276488456133307,1.2482566248256626,0.9837905602278503,1.1339219333467176,1.2482566248256626,0.9892633672276485,1.14622856856053,1.587168758716876,1.0,1.1426687361975507,1.4825662482566249,0.9968943084646286
060344_air sppt ops squadron,General buildings,Command facility/ops centre,"MilCon Status Report - March, 2014 .xlsx",2012-04-17,2013-07-31,2014-05-09,470 days,752 days,2012.0,7511891.0,7154181.904761905,8105567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1329830731036965,1.6,1.0
060344_cap 060344 air sppt ops squadron,General buildings,Command facility/ops centre,"MilCon Status Report - May, 2014 .xlsx",2012-04-17,2013-07-31,2014-05-09,470 days,752 days,2012.0,7511891.0,7154181.904761905,8105567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1329830731036965,1.6,1.0
060459_aviation maintenance facility,General buildings,Engineering/equipment maintenance facility,"MilCon Status Report - January, 2013.xlsx",2011-08-08,2013-07-28,2013-07-31,720 days,723 days,2011.0,30495000.0,29042857.14285714,31691385.0,,,,,,,,,,,,,,,,,,,1.0861765027053616,,0.9954020311829225,,,,,,,1.0911937776684704,1.0041666666666667,1.0
060463_aviation component maintenance shop,General buildings,Engineering/equipment maintenance facility,"MilCon Status Report - January, 2013.xlsx",2011-09-20,2013-09-09,2014-05-26,720 days,979 days,2011.0,19712660.0,18773961.9047619,21411779.0,1.071644126160549,,0.9396232793174262,,,,,,,,,,,,,,,,,,,,,,,,,1.1405040187371978,1.3597222222222223,1.0
"060463_lic: 40540, aviation component maintenance shop",General buildings,Engineering/equipment maintenance facility,"MilCon Status Report - March, 2014 .xlsx",2011-09-20,2013-09-09,2014-04-30,720 days,953 days,2011.0,19712660.0,18773961.9047619,21442700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1405040187371978,1.323611111111111,0.9985579707779337
060550_fire station,General buildings,Fire station,"MilCon Status Report - January, 2013.xlsx",2010-11-10,2012-05-03,2010-11-10,540 days,,2010.0,5623000.0,5355238.095238095,5807510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0844541170193847,,1.0
