unique_id,project_subtype,project_subtype_two,archive_filename,start_date,estimated_completion_date,actual_completion_date,estimated_duration,actual_duration,fiscal_year,estimated_cost,estimated_cost_nocontingency,final_cost,cost_pct0,schedule_pct0,expenditure_pct0,cost_pct10,schedule_pct10,expenditure_pct10,cost_pct20,schedule_pct20,expenditure_pct20,cost_pct30,schedule_pct30,expenditure_pct30,cost_pct40,schedule_pct40,expenditure_pct40,cost_pct50,schedule_pct50,expenditure_pct50,cost_pct60,schedule_pct60,expenditure_pct60,cost_pct70,schedule_pct70,expenditure_pct70,cost_pct80,schedule_pct80,expenditure_pct80,cost_pct90,schedule_pct90,expenditure_pct90
"1267_mess hall, french creek",General buildings,Mess hall,"MilCon Status Report - January, 2013.xlsx",2011-06-16,2013-02-06,2013-10-25,601 days,862 days,2011.0,24316000.0,23158095.23809524,17444000.0,,,,,,,,,,,,,,,,,,,0.7415549432472446,1.0748752079866888,0.9844645723457922,0.7524798486593189,1.4342762063227954,0.9989681265764733,,,,0.753257114657016,1.4342762063227954,1.0
"1268_soi east facilities, camp geiger",General buildings,School/classrooms,"MilCon Status Report - January, 2013.xlsx",2010-08-30,2013-04-10,2014-10-21,954 days,1513 days,2010.0,33644000.0,32041904.76190476,44274000.0,,,,,,,,,,,,,1.3635893472833196,1.5859538784067087,0.9868545873424583,1.36511859469742,1.5859538784067087,0.9879613317070968,1.3657115681845202,1.5859538784067087,0.9883904774811402,1.3691133634526216,1.5859538784067087,0.9908524190269684,1.3694566638925216,1.5859538784067087,0.9911008718435199,1.3817530614671265,1.5859538784067087,1.0
127_sub-station and electrical upgrades,Electrical,Electricity sub-station,"MilCon Status Report - January, 2013.xlsx",2010-06-17,2012-03-28,2013-02-15,650 days,974 days,2010.0,16493000.0,15707619.04761905,26662000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65028193779179,1.4984615384615385,0.9722451429000075
"128_elec infrastructure upgrade, 34.5kv to 115kv",Utilities,Gas & electric,"MilCon Status Report - January, 2013.xlsx",2011-06-16,1996-10-08,2014-09-30,,1202 days,2010.0,41774000.0,39784761.9047619,40025000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0060384449657682,,1.0
"1286_bachelor enlisted quarters, rifle range",General buildings,Barracks,"MilCon Status Report - January, 2013.xlsx",2011-09-13,2013-09-07,2013-09-12,725 days,730 days,2011.0,54720000.0,52114285.71428571,52802000.0,,,,,,,,,,,,,1.0015871710526316,1.0,0.9885421006780046,1.0081304824561406,1.006896551724138,0.9950001893867656,1.0086293859649125,1.006896551724138,0.995492594977463,1.0096655701754387,1.006896551724138,0.9965152835119881,1.0127741228070177,1.006896551724138,0.9995833491155638,1.0131962719298246,1.006896551724138,1.0
129_elec power plant/co-gen/gas turbine,Thermal power,Gas power plant,"MilCon Status Report - January, 2013.xlsx",2010-10-08,2012-06-30,2014-01-27,631 days,1207 days,2010.0,54824000.0,52213333.33333333,53718000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0288176710929522,1.9128367670364501,1.0
129_public works shops consolidation,General buildings,,"MilCon Status Report - January, 2013.xlsx",2010-08-20,2012-05-25,2012-05-25,644 days,644 days,2010.0,8880000.0,8457142.857142856,7376000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8719256756756758,1.0,0.9997288503253796
1297_4th infantry battalion ops complex,General buildings,Battalion complex,"MilCon Status Report - January, 2013.xlsx",2010-03-11,2012-10-27,2013-10-03,961 days,1302 days,2010.0,31109000.0,29627619.04761904,26915000.0,,,,,,,,,,,,,,,,,,,0.9073965733389053,1.3548387096774193,0.9988482258963404,0.908139123726253,1.3548387096774193,0.9996656139699053,0.8800572181683759,1.3548387096774193,0.9687534831878135,0.8801247227490439,1.3548387096774193,0.9688277911945012
"1298_road network, wallace creek",Road,Road,"MilCon Status Report - January, 2013.xlsx",2010-03-11,2012-10-27,2013-10-03,961 days,1302 days,2010.0,10943000.0,10421904.76190476,16129000.0,,,,,,,,,,,,,1.2793246824453992,1.3548387096774193,0.8266476532953065,1.2805720551951023,1.2372528616024974,0.8274536549073098,1.2807639586950565,1.3548387096774193,0.8275776551553103,1.2825870419446224,1.3548387096774193,0.828755657511315,1.5476057753815229,1.3548387096774193,1.0,1.5475098236315457,1.3548387096774193,0.9999379998759997
130_water improvements and storage tank,Water,Water storage tank,"MilCon Status Report - January, 2013.xlsx",2010-06-17,2012-03-28,2013-02-15,650 days,974 days,2010.0,16911000.0,16105714.28571428,25503000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4784814617704458,1.4984615384615385,0.9336940752068384
1304_mp working dog kennel relocation,General buildings,Kennels,"MilCon Status Report - January, 2013.xlsx",2010-09-15,2012-03-09,2013-02-08,541 days,877 days,2010.0,6073000.0,5783809.523809523,5596000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965107854437675,1.6210720887245842,0.9974982130092923
131_sewage system improvements,Utilities,Sewage systems,"MilCon Status Report - January, 2013.xlsx",2010-06-17,2012-03-28,2013-02-15,650 days,974 days,2010.0,4735000.0,4509523.80952381,4832000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0715100316789863,1.4984615384615385,1.0
1310_pre-trial detainee facility,General buildings,Prison,"MilCon Status Report - January, 2013.xlsx",2010-09-09,2012-03-18,2013-02-08,556 days,883 days,2010.0,16332000.0,15554285.71428572,15859000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.019590374724467,1.5881294964028776,1.0
1311_consolidated infotech/telcom complex,General buildings,Command facility/ops centre,"MilCon Status Report - January, 2013.xlsx",2011-03-18,2014-07-01,2014-09-25,1201 days,1287 days,2010.0,35011000.0,33343809.52380952,34013000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.9669860900859731,1.0,0.947961073707112,1.0200694067578762,1.0716069941715238,1.0
"1317_bachelor enlisted quarters, french creek",General buildings,Barracks,"MilCon Status Report - January, 2013.xlsx",2011-06-16,2013-08-30,2014-06-02,806 days,1082 days,2011.0,43568000.0,41493333.33333333,41050000.0,,,,,,,,,,,,,,,,0.9883033419023137,1.0558312655086848,0.9989768574908648,0.9885925449871467,1.0558312655086848,0.9992691839220463,0.9888576478149101,1.0558312655086848,0.999537149817296,0.985073907455013,1.0818858560794045,0.9957125456760049,0.9867609254498716,1.6104218362282878,0.9974177831912302
"1319_bachelor enlisted quarters, camp johnson",General buildings,Barracks,"MilCon Status Report - January, 2013.xlsx",2011-06-16,2013-08-13,2014-04-14,789 days,1033 days,2011.0,46005000.0,43814285.71428571,42217000.0,,,,,,,,,,,,,,,,,,,,,,0.9626312357352463,1.0570342205323193,0.9990525143899377,0.9634528855559179,1.0570342205323193,0.9999052514389938,0.9631105314639714,1.309252217997465,0.9995499443352204
132_hthw/chilled water system,Utilities,Cooling system,"MilCon Status Report - January, 2013.xlsx",2010-06-17,2012-03-28,2013-02-15,650 days,974 days,2010.0,14341000.0,13658095.23809524,16248000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1896241545219997,1.4984615384615385,1.0
"1322_bachelor enlisted quarters, wallace creek north",General buildings,Barracks,"MilCon Status Report - January, 2013.xlsx",2011-07-13,2013-07-13,2014-06-30,731 days,1083 days,2011.0,49005000.0,46671428.57142857,44340000.0,,,,0.9415610651974289,1.2106703146374829,0.9910690121786198,,,,0.9480961126415672,1.292749658002736,0.9979476770410465,,,,0.9480961126415672,1.292749658002736,0.9979476770410465,0.9483318028772575,1.292749658002736,0.9981957600360848,0.9488674625038263,1.292749658002736,0.9987595850248083,0.94897459442914,1.481532147742818,0.998872350022553,0.9500459136822774,1.481532147742818,1.0
"1323_armory ii mef, wallace creek",General buildings,Armory,"MilCon Status Report - January, 2013.xlsx",2011-12-20,2013-07-13,2014-06-30,571 days,923 days,2011.0,5941000.0,5658095.238095238,5263000.0,,,,0.9181535095101835,1.2697022767075306,0.9870796123883716,0.9193906749705437,1.2697022767075306,0.9884096522895687,0.9204511025079953,1.2697022767075306,0.9895496864905947,0.9209813162767211,1.3747810858143608,0.9901197035911077,0.9231021713516243,1.3747810858143608,0.9923997719931598,0.9239858609661673,1.3747810858143608,0.9933498004940148,0.9284043090388824,1.61646234676007,0.99809994299829,,,,0.9301716882679684,1.61646234676007,1.0
133_natural gas system extension,Pipeline,Gas pipeline,"MilCon Status Report - January, 2013.xlsx",2010-10-13,2011-09-30,2011-09-30,352 days,352 days,2010.0,20931000.0,19934285.71428572,15025000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7537265300272321,1.0,1.0
133_nosc consolidation battle creek mi,General buildings,Command facility/ops centre,"MilCon Status Report - January, 2013.xlsx",2011-02-09,2012-06-01,2012-09-06,478 days,575 days,2010.0,8899000.0,8475238.095238095,8476000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0000898977413193,1.202928870292887,1.0
1330_wounded warrior battalion headquarters,General buildings,Administration/office,"MilCon Status Report - January, 2013.xlsx",2009-10-07,2011-10-30,2012-11-25,753 days,1145 days,2009.0,3060000.0,2914285.714285714,3517000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.206813725490196,1.6666666666666667,1.0
135_bachelor enlisted quarters,General buildings,Barracks,"MilCon Status Report - January, 2013.xlsx",2009-04-09,2011-01-25,2011-09-09,656 days,883 days,2009.0,26167000.0,24920952.38095238,25945000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0410918332250545,1.3460365853658536,1.0
1357_arra-child development center,General buildings,Child care building,"MilCon Status Report - January, 2013.xlsx",2010-10-12,2012-01-21,2012-11-02,466 days,752 days,2009.0,8201000.0,7810476.19047619,8636000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.098012437507621,1.613733905579399,0.9930523390458545
136_bachelor enlisted quarters,General buildings,Barracks,"MilCon Status Report - January, 2013.xlsx",2011-06-16,2013-07-07,2014-05-07,752 days,1056 days,2011.0,42882000.0,40840000.0,42014000.0,,,,0.9797747306562193,1.1090425531914894,0.9523968201075832,1.0269098922624877,1.375,0.9982148807540344,1.0274485798237023,1.375,0.998738515732851,1.0277424094025465,1.375,0.9990241348122054,1.0280852105778648,1.375,0.9993573570714523,1.028305582761998,1.375,0.9995715713809682,1.0286483839373164,1.4042553191489362,0.9999047936402151,,,,1.0287463271302644,1.4042553191489362,1.0
